date,max_temperature,min_etemprature,weather,wind_power
2022-01-01 星期六 ,7℃,-15℃,晴,西北风 2级
2022-01-02 星期日 ,2℃,-11℃,晴,西风 1级
2022-01-03 星期一 ,5℃,-11℃,多云,西北风 2级
2022-01-04 星期二 ,4℃,-10℃,多云,东南风 1级
2022-01-05 星期三 ,3℃,-8℃,多云,西北风 1级
2022-01-06 星期四 ,3℃,-10℃,霾,南风 1级
2022-01-07 星期五 ,5℃,-8℃,霾,北风 1级
2022-01-08 星期六 ,3℃,-10℃,阴,南风 1级
2022-01-09 星期日 ,3℃,-6℃,霾,东南风 1级
2022-01-10 星期一 ,8℃,-4℃,霾,西南风 1级
2022-01-11 星期二 ,5℃,-11℃,晴,北风 1级
2022-01-12 星期三 ,3℃,-16℃,晴,东南风 1级
2022-01-13 星期四 ,2℃,-14℃,晴,西南风 0级
2022-01-14 星期五 ,3℃,-12℃,晴,东北风 1级
2022-01-15 星期六 ,8℃,-12℃,晴,南风 1级
2022-01-16 星期日 ,6℃,-11℃,多云,东北风 1级
2022-01-17 星期一 ,5℃,-13℃,晴,东北风 1级
2022-01-18 星期二 ,6℃,-12℃,晴,西北风 2级
2022-01-19 星期三 ,2℃,-9℃,霾,东北风 2级
2022-01-20 星期四 ,-2℃,-6℃,多云,东北风 1级
2022-01-21 星期五 ,3℃,-4℃,多云,东风 1级
2022-01-22 星期六 ,0℃,-1℃,阴,东风 2级
2022-01-23 星期日 ,5℃,-5℃,阴,东南风 2级
2022-01-24 星期一 ,5℃,-10℃,霾,西南风 1级
2022-01-25 星期二 ,2℃,-7℃,多云,北风 2级
2022-01-26 星期三 ,3℃,-5℃,多云,东风 1级
2022-01-27 星期四 ,3℃,-7℃,霾,北风 1级
2022-01-28 星期五 ,3℃,-10℃,霾,西风 1级
2022-01-29 星期六 ,4℃,-10℃,晴,南风 1级
2022-01-30 星期日 ,-1℃,-11℃,晴,西北风 2级
2022-01-31 星期一 ,2℃,-13℃,晴,北风 2级
2022-02-01 星期二 ,1℃,-12℃,晴,西北风 1级
2022-02-02 星期三 ,3℃,-13℃,晴,西风 2级
2022-02-03 星期四 ,2℃,-9℃,多云,西北风 1级
2022-02-04 星期五 ,3℃,-12℃,晴,西北风 2级
2022-02-05 星期六 ,2℃,-9℃,多云,北风 1级
2022-02-06 星期日 ,1℃,-7℃,多云,东北风 2级
2022-02-07 星期一 ,3℃,-10℃,多云,西南风 1级
2022-02-08 星期二 ,4℃,-9℃,晴,南风 1级
2022-02-09 星期三 ,3℃,-11℃,多云,西南风 1级
2022-02-10 星期四 ,4℃,-7℃,多云,南风 1级
2022-02-11 星期五 ,6℃,-6℃,多云,东北风 2级
2022-02-12 星期六 ,6℃,-5℃,多云,东北风 1级
2022-02-13 星期日 ,6℃,-9℃,阴,西北风 3级
2022-02-14 星期一 ,3℃,-10℃,多云,西北风 1级
2022-02-15 星期二 ,6℃,-8℃,多云,北风 2级
2022-02-16 星期三 ,5℃,-9℃,多云,东风 2级
2022-02-17 星期四 ,0℃,-10℃,小雪,南风 2级
2022-02-18 星期五 ,2℃,-11℃,多云,北风 4级
2022-02-19 星期六 ,2℃,-16℃,晴,西北风 1级
2022-02-20 星期日 ,4℃,-14℃,晴,西北风 2级
2022-02-21 星期一 ,6℃,-13℃,晴,北风 1级
2022-02-22 星期二 ,3℃,-12℃,晴,北风 3级
2022-02-23 星期三 ,5℃,-11℃,多云,北风 1级
2022-02-24 星期四 ,9℃,-8℃,多云,南风 1级
2022-02-25 星期五 ,13℃,-9℃,多云,西北风 1级
2022-02-26 星期六 ,11℃,-11℃,晴,西南风 2级
2022-02-27 星期日 ,13℃,-4℃,阴,南风 2级
2022-02-28 星期一 ,11℃,-9℃,多云,西北风 2级
